Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Luke Kunin,MIN,R,C,1997-12-04,Chesterfield,MO,USA,USA,72,197,2016,1,15,20172018,N,44,10,10,20
Sean Kuraly,BOS,L,C,1993-01-20,Dublin,OH,USA,USA,74,213,2011,5,133,20162017,N,46,3,13,16
Evgeny Kuznetsov,WSH,L,C,1992-05-19,Chelyabinsk,--,RUS,RUS,74,197,2010,1,26,20132014,N,43,16,26,42
Oliver Kylington,CGY,L,D,1997-05-19,Stockholm,--,SWE,SWE,72,183,2015,2,60,20152016,N,34,1,3,4
Jordan Kyrou,STL,R,C,1998-05-05,Toronto,ON,CAN,CAN,72,175,2016,2,35,20182019,N,12,2,2,4
Joel L'Esperance,DAL,R,C,1995-08-18,Brighton,MI,USA,USA,74,215,--,--,--,20182019,N,3,1,0,1
Kevin Labanc,SJS,R,R,1995-12-12,Brooklyn,NY,USA,USA,71,185,2014,6,171,20162017,N,47,10,13,23
Andrew Ladd,NYI,L,L,1985-12-12,Maple Ridge,BC,CAN,CAN,75,192,2004,1,4,20052006,N,1,0,0,0
Paul LaDue,LAK,R,D,1992-09-06,Grand Forks,ND,USA,USA,74,200,2012,6,181,20162017,N,2,0,1,1
Sam Lafferty,PIT,R,C,1995-03-06,Hollidaysburg,PA,USA,USA,73,195,2014,4,113,20192020,N,35,4,6,10
William Lagesson,EDM,L,D,1996-02-22,Gothenburg,--,SWE,SWE,74,207,2014,4,91,20192020,N,2,0,0,0
Patrik Laine,WPG,R,R,1998-04-19,Tampere,--,FIN,FIN,77,206,2016,1,2,20162017,N,44,15,26,41
Maxime Lajoie,OTT,L,D,1997-11-05,Quebec City,QC,CAN,CAN,73,196,2016,5,133,20182019,N,6,0,0,0
Gabriel Landeskog,COL,L,L,1992-11-23,Stockholm,--,SWE,SWE,73,215,2011,1,2,20112012,N,29,11,8,19
Dylan Larkin,DET,L,C,1996-07-30,Waterford,MI,USA,USA,73,198,2014,1,15,20152016,N,46,11,19,30
Adam Larsson,EDM,R,D,1992-11-12,Skellefteå,--,SWE,SWE,75,208,2011,1,4,20112012,N,25,0,4,4
Jacob Larsson,ANA,L,D,1997-04-29,Ljungby,--,SWE,SWE,74,190,2015,1,27,20162017,N,35,1,3,4
Johan Larsson,BUF,L,C,1992-07-25,Lau,--,SWE,SWE,71,204,2010,2,56,20122013,N,40,4,8,12
Brian Lashoff,DET,L,D,1990-07-16,Albany,NY,USA,USA,75,213,--,--,--,20122013,N,8,0,1,1
Scott Laughton,PHI,L,C,1994-05-30,Oakville,ON,CAN,CAN,73,190,2012,1,20,20122013,N,25,5,5,10
Jeremy Lauzon,BOS,L,D,1997-04-28,Val D'or,QC,CAN,CAN,73,204,2015,2,52,20182019,N,1,0,0,0
Curtis Lazar,BUF,R,C,1995-02-02,Salmon Arm,BC,CAN,CAN,72,211,2013,1,17,20142015,N,16,3,3,6
Nick Leddy,NYI,L,D,1991-03-20,Eden Prairie,MN,USA,USA,72,207,2009,1,16,20102011,N,35,3,14,17
Anders Lee,NYI,L,L,1990-07-03,Edina,MN,USA,USA,75,231,2009,6,151,20122013,N,43,13,12,25
Artturi Lehkonen,MTL,L,L,1995-07-04,Piikkio,--,FIN,FIN,72,176,2013,2,55,20162017,N,46,10,12,22
Brendan Leipsic,WSH,L,L,1994-05-19,Winnipeg,MB,CAN,CAN,71,180,2012,3,89,20152016,N,46,3,7,10
Josh Leivo,VAN,R,L,1993-05-26,Innisfil,ON,CAN,CAN,74,192,2011,3,86,20132014,N,36,7,12,19
Brendan Lemieux,NYR,L,L,1996-03-15,Denver,CO,USA,USA,73,213,2014,2,31,20172018,N,35,5,8,13
Otto Leskinen,MTL,L,D,1997-02-06,Pieksämäki,--,FIN,FIN,71,183,--,--,--,20192020,N,5,0,0,0
Kris Letang,PIT,R,D,1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,3,62,20062007,N,37,10,18,28
Mark Letestu,WPG,R,C,1985-02-04,Elk Point,AB,CAN,CAN,70,195,--,--,--,20092010,N,7,0,0,0
Tyler Lewington,WSH,R,D,1994-12-05,Edmonton,AB,CAN,CAN,74,200,2013,7,204,20182019,N,6,0,0,0
Trevor Lewis,LAK,R,C,1987-01-08,Salt Lake City,UT,USA,USA,73,202,2006,1,17,20082009,N,34,2,5,7
Jakob Lilja,CBJ,L,L,1993-07-23,Malmo,--,SWE,SWE,73,196,--,--,--,20192020,N,21,1,2,3
Oskar Lindblom,PHI,L,L,1996-08-15,Gävle,--,SWE,SWE,73,191,2014,5,138,20172018,N,30,11,7,18
Esa Lindell,DAL,L,D,1994-05-23,Vantaa,--,FIN,FIN,75,215,2012,3,74,20152016,N,45,2,17,19
Ryan Lindgren,NYR,L,D,1998-02-11,Burnsville,MN,USA,USA,72,191,2016,2,49,20182019,N,34,1,8,9
Anton Lindholm,COL,L,D,1994-11-29,Skellefteå,--,SWE,SWE,71,191,2014,5,144,20162017,N,4,0,1,1
Elias Lindholm,CGY,R,C,1994-12-02,Boden,--,SWE,SWE,73,195,2013,1,5,20132014,N,47,20,16,36
Hampus Lindholm,ANA,L,D,1994-01-20,Helsingborg,--,SWE,SWE,75,208,2012,1,6,20132014,N,37,1,16,17
Par Lindholm,BOS,L,C,1991-10-05,Kusmark,--,SWE,SWE,72,183,--,--,--,20182019,N,27,2,1,3
Bryan Little,WPG,R,C,1987-11-12,Edmonton,AB,CAN,CAN,72,191,2006,1,12,20072008,N,7,2,3,5
Blake Lizotte,LAK,L,C,1997-12-13,Lindstrom,MN,USA,USA,67,172,--,--,--,20182019,N,45,4,11,15
Adam Lowry,WPG,L,C,1993-03-29,St. Louis,MO,USA,USA,77,210,2011,3,67,20142015,N,44,4,5,9
Milan Lucic,CGY,L,L,1988-06-07,Vancouver,BC,CAN,CAN,75,231,2006,2,50,20072008,N,45,4,6,10
Matt Luff,LAK,R,R,1997-05-05,Oakville,ON,CAN,CAN,74,196,--,--,--,20182019,N,16,1,4,5
Isac Lundestrom,ANA,L,C,1999-11-06,Gallivare,--,SWE,SWE,72,187,2018,1,23,20182019,N,14,0,4,4
Eetu Luostarinen,CAR,L,C,1998-09-02,Siilinjarvi,--,FIN,FIN,75,184,2017,2,42,20192020,N,8,0,1,1
Joona Luoto,WPG,L,L,1997-09-26,TAMPERE,--,FIN,FIN,75,192,--,--,--,20192020,N,16,0,0,0
Ilya Lyubushkin,ARI,R,D,1994-04-06,Moscow,--,RUS,RUS,74,201,--,--,--,20182019,N,33,0,2,2
Olli Maatta,CHI,L,D,1994-08-22,Jyväskylä,--,FIN,FIN,74,206,2012,1,22,20132014,N,41,3,9,12
Kurtis MacDermid,LAK,L,D,1994-03-25,Sauble Beach,ON,CAN,CAN,77,233,--,--,--,20172018,N,27,2,2,4
Mackenzie MacEachern,STL,L,L,1994-03-09,Bloomfield Hills,MI,USA,USA,74,190,2012,3,67,20182019,N,39,6,2,8
Zack MacEwen,VAN,R,C,1996-07-08,Charlottetown,PE,CAN,CAN,75,205,--,--,--,20182019,N,8,1,1,2
Ryan MacInnis,CBJ,L,C,1996-02-14,St. Louis,MO,USA,USA,76,200,2014,2,43,20192020,N,7,0,1,1
Nathan MacKinnon,COL,R,C,1995-09-01,Halifax,NS,CAN,CAN,72,200,2013,1,1,20132014,N,45,27,39,66
Josh Mahura,ANA,L,D,1998-05-05,St. Albert,AB,CAN,CAN,72,186,2016,3,85,20182019,N,11,1,3,4
Cale Makar,COL,R,D,1998-10-30,Calgary,AB,CAN,CAN,71,187,2017,1,4,20192020,N,37,9,24,33
Beck Malenstyn,WSH,L,L,1998-02-04,Delta,BC,CAN,CAN,75,200,2016,5,145,20192020,N,3,0,0,0
Denis Malgin,FLA,R,C,1997-01-18,Olten,--,CHE,CHE,69,177,2015,4,102,20162017,N,31,3,6,9
Evgeni Malkin,PIT,L,C,1986-07-31,Magnitogorsk,--,RUS,RUS,75,195,2004,1,2,20062007,N,32,13,31,44
Andrew Mangiapane,CGY,L,L,1996-04-04,Toronto,ON,CAN,CAN,70,184,2015,6,166,20172018,N,45,8,7,15
Brandon Manning,EDM,L,D,1990-06-04,Prince George,BC,CAN,CAN,73,205,--,--,--,20112012,N,9,1,0,1
Josh Manson,ANA,R,D,1991-10-07,Hinsdale,IL,USA,CAN,75,224,2011,6,160,20142015,N,26,0,3,3
Anthony Mantha,DET,L,R,1994-09-16,Longueuil,QC,CAN,CAN,77,234,2013,1,20,20152016,N,29,12,12,24
Brad Marchand,BOS,L,L,1988-05-11,Halifax,NS,CAN,CAN,69,181,2006,3,71,20092010,N,46,20,42,62
Jonathan Marchessault,VGK,R,C,1990-12-27,Cap-Rouge,QC,CAN,CAN,69,180,--,--,--,20122013,N,43,15,16,31
Mason Marchment,TOR,L,L,1995-06-18,Uxbridge,ON,CAN,--,76,220,--,--,--,20192020,N,3,0,1,1
Martin Marincin,TOR,L,D,1992-02-18,Kosice,--,SVK,SVK,77,217,2010,2,46,20132014,N,14,0,0,0
John Marino,PIT,R,D,1997-05-21,North Easton,MA,USA,USA,73,181,2015,6,154,20192020,N,43,4,18,22
Patrick Marleau,SJS,L,L,1979-09-15,Aneroid,SK,CAN,CAN,74,215,1997,1,2,19971998,N,43,8,8,16
Mitchell Marner,TOR,R,R,1997-05-05,Markham,ON,CAN,CAN,72,175,2015,1,4,20162017,N,35,13,31,44
Pat Maroon,TBL,L,L,1988-04-23,St. Louis,MO,USA,USA,74,236,2007,6,161,20112012,N,42,6,10,16
Matt Martin,NYI,L,L,1989-05-08,Windsor,ON,CAN,CAN,75,220,2008,5,148,20092010,N,31,3,3,6
Alec Martinez,LAK,L,D,1987-07-26,Rochester Hills,MI,USA,USA,73,209,2007,4,95,20092010,N,29,1,5,6
Jordan Martinook,CAR,L,L,1992-07-25,Brandon,MB,CAN,CAN,72,196,2012,2,58,20142015,N,30,2,8,10
Mike Matheson,FLA,L,D,1994-02-27,Pointe-Claire,QC,CAN,CAN,74,188,2012,1,23,20152016,N,39,5,6,11
Auston Matthews,TOR,L,C,1997-09-17,San Ramon,CA,USA,USA,75,220,2016,1,1,20162017,N,46,31,23,54
Scott Mayfield,NYI,R,D,1992-10-14,St. Louis,MO,USA,USA,77,223,2011,2,34,20132014,N,42,5,7,12
Gerald Mayhew,MIN,L,C,1992-12-31,Wyandotte,MI,USA,USA,69,166,--,--,--,20192020,N,7,2,0,2
Charlie McAvoy,BOS,R,D,1997-12-21,Long Beach,NY,USA,USA,72,208,2016,1,14,20172018,N,43,0,16,16
Jake McCabe,BUF,L,D,1993-10-12,Eau Claire,WI,USA,USA,73,204,2012,2,44,20132014,N,43,2,5,7
Jared McCann,PIT,L,C,1996-05-31,Stratford,ON,CAN,CAN,73,185,2014,1,24,20152016,N,43,13,13,26
Connor McDavid,EDM,L,C,1997-01-13,Richmond Hill,ON,CAN,CAN,73,193,2015,1,1,20152016,N,47,25,46,71
Ryan McDonagh,TBL,L,D,1989-06-13,St. Paul,MN,USA,USA,73,214,2007,1,12,20102011,N,40,1,10,11
Brock McGinn,CAR,L,L,1994-02-02,Fergus,ON,CAN,CAN,72,187,2012,2,47,20152016,N,45,4,6,10
Dylan McIlrath,DET,R,D,1992-04-20,Winnipeg,MB,CAN,CAN,77,231,2010,1,10,20132014,N,16,0,0,0
Greg McKegg,NYR,L,C,1992-06-17,St. Thomas,ON,CAN,CAN,72,192,2010,3,62,20132014,N,31,1,3,4
Michael McLeod,NJD,R,C,1998-02-03,Mississauga,ON,CAN,CAN,74,188,2016,1,12,20182019,N,4,0,2,2
Brayden McNabb,VGK,L,D,1991-01-21,Davidson,SK,CAN,CAN,76,213,2009,3,66,20112012,N,48,2,5,7
Jayson Megna,COL,R,C,1990-02-01,Fort Lauderdale,FL,USA,USA,73,195,--,--,--,20132014,N,8,0,0,0
Timo Meier,SJS,L,R,1996-10-08,Herisau,--,CHE,CHE,72,210,2015,1,9,20162017,N,47,15,15,30
Brennan Menell,MIN,R,D,1997-05-24,Woodbury,MN,USA,USA,71,177,--,--,--,20192020,N,5,0,0,0
Jon Merrill,VGK,L,D,1992-02-03,Oklahoma City,OK,USA,USA,75,195,2010,2,38,20132014,N,38,1,3,4
Victor Mete,MTL,L,D,1998-06-07,Woodbridge,ON,CAN,CAN,69,187,2016,4,100,20172018,N,36,4,5,9
Jacob Middleton,SJS,L,D,1996-01-02,Wainwright,AB,CAN,CAN,75,210,2014,7,210,20182019,N,4,0,0,0
Ilya Mikheyev,TOR,L,R,1994-10-10,Omsk,--,RUS,RUS,75,195,--,--,--,20192020,N,39,8,15,23
Niko Mikkola,STL,L,D,1996-04-27,Finland,--,FIN,FIN,76,185,2015,5,127,20192020,N,3,0,1,1
Sonny Milano,CBJ,L,L,1996-05-12,Massapequa,NY,USA,USA,72,194,2014,1,16,20152016,N,36,5,11,16
Colin Miller,BUF,R,D,1992-10-29,Sault Ste. Marie,ON,CAN,CAN,73,193,2012,5,151,20152016,N,32,1,5,6
J.T. Miller,VAN,L,C,1993-03-14,East Palestine,OH,USA,USA,73,218,2011,1,15,20122013,N,46,16,28,44
Casey Mittelstadt,BUF,L,C,1998-11-22,Eden Prairie,MN,USA,USA,73,199,2017,1,8,20172018,N,31,4,5,9
Sean Monahan,CGY,L,C,1994-10-12,Brampton,ON,CAN,CAN,74,200,2013,1,6,20132014,N,47,14,22,36
Brandon Montour,BUF,R,D,1994-04-11,Brantford,ON,CAN,CAN,72,189,2014,2,55,20162017,N,32,3,9,12
John Moore,BOS,L,D,1990-11-19,Winnetka,IL,USA,USA,74,210,2009,1,21,20102011,N,15,2,1,3
Trevor Moore,TOR,L,L,1995-03-31,Thousand Oaks,CA,USA,USA,70,185,--,--,--,20182019,N,22,3,2,5
Samuel Morin,PHI,L,D,1995-07-12,Lac-Beauport,QC,CAN,CAN,78,202,2013,1,11,20162017,N,1,0,0,0
Josh Morrissey,WPG,L,D,1995-03-28,Calgary,AB,CAN,CAN,72,195,2013,1,13,20152016,N,44,4,21,25
Tyler Motte,VAN,L,C,1995-03-10,St. Clair,MI,USA,USA,70,192,2013,4,121,20162017,N,19,3,2,5
Mirco Mueller,NJD,L,D,1995-03-21,Winterthur,--,CHE,CHE,75,210,2013,1,18,20142015,N,30,1,0,1
Connor Murphy,CHI,R,D,1993-03-26,Dublin,OH,USA,USA,76,212,2011,1,20,20132014,N,34,4,8,12
Ryan Murray,CBJ,L,D,1993-09-27,Regina,SK,CAN,CAN,73,206,2012,1,2,20132014,N,24,2,5,7
Jake Muzzin,TOR,L,D,1989-02-21,Woodstock,ON,CAN,CAN,75,217,2007,5,141,20102011,N,38,3,10,13
Philippe Myers,PHI,R,D,1997-01-25,Moncton,NB,CAN,CAN,77,210,--,--,--,20182019,N,27,3,10,13
Tyler Myers,VAN,R,D,1990-02-01,Houston,TX,USA,CAN,80,229,2008,1,12,20092010,N,46,4,11,15
Vladislav Namestnikov,OTT,L,L,1992-11-22,Zhukovskiy,--,RUS,RUS,72,183,2011,1,27,20132014,N,42,8,10,18
Riley Nash,CBJ,R,C,1989-05-09,Consort,AB,CAN,CAN,74,185,2007,1,21,20112012,N,41,3,7,10
James Neal,EDM,L,L,1987-09-03,Whitby,ON,CAN,CAN,75,212,2005,2,33,20082009,N,47,19,8,27
Martin Necas,CAR,R,C,1999-01-15,Nove Mesto na Morave,--,CZE,CZE,74,189,2017,1,12,20172018,N,41,10,15,25
Brock Nelson,NYI,L,C,1991-10-15,Warroad,MN,USA,USA,75,212,2010,1,30,20132014,N,43,15,16,31
Patrik Nemeth,DET,L,D,1992-02-08,Stockholm,--,SWE,SWE,75,228,2010,2,41,20132014,N,40,1,6,7
Aaron Ness,ARI,L,D,1990-05-18,Roseau,MN,USA,USA,70,184,2008,2,40,20112012,N,18,0,1,1
Valeri Nichushkin,COL,L,R,1995-03-04,Chelyabinsk,--,RUS,RUS,76,210,2013,1,10,20132014,N,40,7,9,16
Nino Niederreiter,CAR,L,R,1992-09-08,Chur,--,CHE,CHE,74,218,2010,1,5,20102011,N,45,6,15,21
Frans Nielsen,DET,L,C,1984-04-24,Herning,--,DNK,DNK,73,186,2002,3,87,20062007,N,41,3,3,6
Matt Nieto,COL,L,L,1992-11-05,Long Beach,CA,USA,USA,71,185,2011,2,47,20132014,N,45,6,12,18
Boo Nieves,NYR,L,C,1994-01-23,Syracuse,NY,USA,USA,75,214,2012,2,59,20162017,N,4,0,0,0
Sami Niku,WPG,L,D,1996-10-10,Haapavesi,--,FIN,FIN,73,176,2015,7,198,20172018,N,4,0,0,0
Matt Niskanen,PHI,R,D,1986-12-06,Virginia,MN,USA,USA,73,203,2005,1,28,20072008,N,44,5,12,17
Stefan Noesen,SJS,R,R,1993-02-12,Plano,TX,USA,USA,73,205,2011,1,21,20142015,N,17,2,0,2
Joakim Nordstrom,BOS,L,C,1992-02-25,Stockholm,--,SWE,SWE,73,194,2010,3,90,20132014,N,33,4,2,6
Tomas Nosek,VGK,L,L,1992-09-01,Pardubice,--,CZE,CZE,74,205,--,--,--,20152016,N,44,5,4,9
Ryan Nugent-Hopkins,EDM,L,C,1993-04-12,Burnaby,BC,CAN,CAN,72,184,2011,1,1,20112012,N,41,12,18,30
Darnell Nurse,EDM,L,D,1995-02-04,Hamilton,ON,CAN,CAN,76,221,2013,1,7,20142015,N,47,4,17,21
Markus Nutivaara,CBJ,L,D,1994-06-06,Oulu,--,FIN,FIN,73,187,2015,7,189,20162017,N,14,2,0,2
Joakim Nygard,EDM,L,L,1993-01-08,Stockholm,--,SWE,SWE,72,179,--,--,--,20192020,N,30,2,6,8
Alex Nylander,CHI,R,L,1998-03-02,Calgary,AB,CAN,CAN,73,192,2016,1,8,20162017,N,42,5,9,14
William Nylander,TOR,R,R,1996-05-01,Calgary,AB,CAN,SWE,72,196,2014,1,8,20152016,N,46,19,20,39
Gustav Nyquist,CBJ,L,C,1989-09-01,Halmstad,--,SWE,SWE,71,179,2008,4,121,20112012,N,46,10,21,31
Logan O'Connor,COL,R,R,1996-08-14,Missouri City,TX,USA,USA,72,175,--,--,--,20182019,N,7,1,0,1
Ryan O'Reilly,STL,L,C,1991-02-07,Clinton,ON,CAN,CAN,73,216,2009,2,33,20092010,N,46,8,32,40
Jordan Oesterle,ARI,L,D,1992-06-25,Dearborn Heights,MI,USA,USA,72,182,--,--,--,20142015,N,39,1,7,8
Kyle Okposo,BUF,R,R,1988-04-16,St. Paul,MN,USA,USA,72,216,2006,1,7,20072008,N,35,4,5,9
Jamie Oleksiak,DAL,L,D,1992-12-21,Toronto,ON,CAN,CAN,79,255,2011,1,14,20122013,N,45,1,5,6
Mathieu Olivier,NSH,R,R,1997-02-11,Biloxi,MS,USA,USA,74,210,--,--,--,20192020,N,8,0,1,1
Gustav Olofsson,MTL,L,D,1994-12-01,Boras,--,SWE,SWE,74,200,2013,2,46,20152016,N,3,0,0,0
Victor Olofsson,BUF,L,L,1995-07-18,Ornskoldsvik,--,SWE,SWE,71,183,2014,7,181,20182019,N,42,16,19,35
Dmitry Orlov,WSH,L,D,1991-07-23,Novokuznetsk,--,RUS,RUS,71,208,2009,2,55,20112012,N,46,3,18,21
T.J. Oshie,WSH,R,R,1986-12-23,Everett,WA,USA,USA,72,195,2005,1,24,20082009,N,46,18,15,33
Alex Ovechkin,WSH,R,L,1985-09-17,Moscow,--,RUS,RUS,75,236,2004,1,1,20052006,N,46,26,16,42
Max Pacioretty,VGK,L,L,1988-11-20,New Canaan,CT,USA,USA,74,215,2007,1,22,20082009,N,48,20,25,45
Jean-Gabriel Pageau,OTT,R,C,1992-11-11,Ottawa,ON,CAN,CAN,70,180,2011,4,96,20122013,N,45,19,11,30
Ondrej Palat,TBL,L,L,1991-03-28,Frydek-Mistek,--,CZE,CZE,71,194,2011,7,208,20122013,N,44,12,14,26
Kyle Palmieri,NJD,R,R,1991-02-01,Smithtown,NY,USA,USA,71,185,2009,1,26,20102011,N,44,16,15,31
Artemi Panarin,NYR,R,L,1991-10-30,Korkino,--,RUS,RUS,71,170,--,--,--,20152016,N,44,24,38,62
Richard Panik,WSH,L,R,1991-02-07,Martin,--,SVK,SVK,74,202,2009,2,52,20122013,N,36,5,3,8
Cedric Paquette,TBL,L,C,1993-08-13,Gaspe,QC,CAN,CAN,73,204,2012,4,101,20132014,N,37,4,9,13
Colton Parayko,STL,R,D,1993-05-12,St. Albert,AB,CAN,CAN,78,230,2012,3,86,20152016,N,42,2,11,13
Zach Parise,MIN,L,L,1984-07-28,Minneapolis,MN,USA,USA,71,195,2003,1,17,20052006,N,45,14,12,26
David Pastrnak,BOS,R,R,1996-05-25,Havirov,--,CZE,CZE,72,194,2014,1,25,20142015,N,46,35,30,65
Greg Pateryn,MIN,R,D,1990-06-20,Sterling Heights,MI,USA,USA,75,220,2008,5,128,20122013,N,1,0,0,0
Nick Paul,OTT,L,L,1995-03-20,Mississauga,ON,CAN,CAN,75,219,2013,4,101,20152016,N,38,6,7,13
Joe Pavelski,DAL,R,C,1984-07-11,Plover,WI,USA,USA,71,195,2003,7,205,20062007,N,45,8,10,18
Tanner Pearson,VAN,L,L,1992-08-10,Kitchener,ON,CAN,CAN,73,201,2012,1,30,20132014,N,46,12,22,34
Matthew Peca,MTL,L,C,1993-04-27,Petawawa,ON,CAN,CAN,69,182,2011,7,201,20162017,N,5,0,0,0
Andrew Peeke,CBJ,R,D,1998-03-17,Parkland,FL,USA,USA,75,194,2016,2,34,20192020,N,7,0,1,1
Adam Pelech,NYI,L,D,1994-08-16,Toronto,ON,CAN,CAN,75,218,2012,3,65,20152016,N,38,1,8,9
Brendan Perlini,DET,L,L,1996-04-27,Guildford,--,GBR,GBR,75,211,2014,1,12,20162017,N,25,0,2,2
Mathieu Perreault,WPG,L,L,1988-01-05,Drummondville,QC,CAN,CAN,70,188,2006,6,177,20092010,N,40,6,6,12
David Perron,STL,R,L,1988-05-28,Sherbrooke,QC,CAN,CAN,72,200,2007,1,26,20072008,N,46,20,26,46
Corey Perry,DAL,R,R,1985-05-16,Peterborough,ON,CAN,CAN,75,205,2003,1,28,20052006,N,34,3,10,13
Joel Persson,EDM,R,D,1994-03-04,Osby,--,SWE,SWE,71,170,--,--,--,20192020,N,13,0,2,2
Brett Pesce,CAR,R,D,15.11.1994,Tarrytown,NY,USA,USA,75,206,2013,3,66,20152016,N,45,4,11,15
Nic Petan,TOR,L,C,22.3.1995,Delta,BC,CAN,CAN,69,175,2013,2,43,20152016,N,16,0,3,3
Jeff Petry,MTL,R,D,9.12.1987,Ann Arbor,MI,USA,USA,75,201,2006,2,45,20102011,N,46,6,21,27
Elias Pettersson,VAN,L,C,12.11.1998,Sundsvall,--,SWE,SWE,74,176,2017,1,5,20182019,N,46,21,27,48
Marcus Pettersson,PIT,L,D,8.5.1996,Skellefteå,--,SWE,SWE,75,177,2014,2,38,20172018,N,45,1,14,15
Alex Pietrangelo,STL,R,D,18.1.1990,King City,ON,CAN,CAN,75,210,2008,1,4,20082009,N,46,12,25,37
Lawrence Pilut,BUF,L,D,30.12.1995,Tingsryd,--,SWE,SWE,71,194,--,--,--,20182019,N,3,0,0,0
Neal Pionk,WPG,R,D,29.7.1995,Hermantown,MN,USA,USA,72,186,--,--,--,20172018,N,46,4,25,29
Brandon Pirri,VGK,L,C,10.4.1991,Toronto,ON,CAN,CAN,73,180,2009,2,59,20102011,N,11,0,1,1
Tyler Pitlick,PHI,R,C,1.11.1991,Minneapolis,MN,USA,USA,74,200,2010,2,31,20132014,N,39,4,5,9
Ryan Poehling,MTL,L,C,3.1.1999,Lakeville,MN,USA,USA,74,204,2017,1,25,20182019,N,19,0,0,0
Austin Poganski,STL,R,R,16.2.1996,St. Cloud,MN,USA,USA,73,198,2014,4,110,20192020,N,1,0,0,0
Brayden Point,TBL,R,C,13.3.1996,Calgary,AB,CAN,CAN,70,166,2014,3,79,20162017,N,42,18,22,40
Roman Polak,DAL,R,D,28.4.1986,Ostrava,--,CZE,CZE,74,240,2004,6,180,20062007,N,25,0,4,4
Tucker Poolman,WPG,R,D,8.6.1993,Dubuque,IA,USA,USA,74,199,2013,5,127,20172018,N,44,2,11,13
Derrick Pouliot,STL,L,D,16.1.1994,Estevan,SK,CAN,CAN,72,196,2012,1,8,20142015,N,2,0,0,0
Nikolai Prokhorkin,LAK,L,L,17.9.1993,Chelyabinsk,--,RUS,RUS,75,190,2012,4,121,20192020,N,27,4,7,11
Dalton Prout,SJS,R,D,13.3.1990,Kingsville,ON,CAN,CAN,75,215,2010,6,154,20112012,N,2,0,0,0
Ivan Provorov,PHI,L,D,13.1.1997,Yaroslavl,--,RUS,RUS,73,201,2015,1,7,20162017,N,45,9,15,24
Ryan Pulock,NYI,R,D,6.10.1994,Dauphin,MB,CAN,CAN,74,217,2013,1,15,20152016,N,43,6,14,20
Mark Pysyk,FLA,R,D,11.1.1992,Sherwood Park,AB,CAN,CAN,73,196,2010,1,23,20122013,N,34,3,5,8
John Quenneville,CHI,L,C,16.4.1996,Edmonton,AB,CAN,CAN,73,195,2014,1,30,20162017,N,9,0,0,0
Alan Quine,CGY,L,C,25.2.1993,Belleville,ON,CAN,CAN,72,203,2013,6,166,20152016,N,9,1,0,1
Lukas Radil,SJS,R,C,5.8.1990,Caslav,--,CZE,CZE,76,205,--,--,--,20182019,N,14,0,0,0
Alexander Radulov,DAL,L,R,5.7.1986,Nizhny Tagil,--,RUS,RUS,73,205,2004,1,15,20062007,N,42,13,15,28
Michael Raffl,PHI,L,L,1.12.1988,Villach,--,AUT,AUT,72,200,--,--,--,20132014,N,35,4,7,11
Rickard Rakell,ANA,R,L,5.5.1993,Sundbyberg,--,SWE,SWE,72,196,2011,1,30,20122013,N,39,11,15,26
Mikko Rantanen,COL,L,R,29.10.1996,Nousiainen,--,FIN,FIN,76,215,2015,1,10,20152016,N,29,15,16,31
Victor Rask,MIN,L,C,1.3.1993,Leksand,--,SWE,SWE,74,193,2011,2,42,20142015,N,34,4,6,10
Ryan Reaves,VGK,R,R,20.1.1987,Winnipeg,MB,CAN,CAN,74,225,2005,5,156,20102011,N,48,5,3,8
Mike Reilly,OTT,L,D,13.7.1993,Chicago,IL,USA,USA,73,200,2011,4,98,20152016,N,18,0,5,5
Sam Reinhart,BUF,R,C,6.11.1995,West Vancouver,BC,CAN,CAN,73,194,2014,1,2,20142015,N,46,15,21,36
Anthony Richard,NSH,L,C,20.12.1996,Trois-Rivieres,QC,CAN,CAN,70,163,2015,4,100,20182019,N,1,0,0,0
Brad Richardson,ARI,L,C,4.2.1985,Belleville,ON,CAN,CAN,72,190,2003,5,163,20052006,N,41,3,3,6
Tobias Rieder,CGY,L,C,10.1.1993,Landshut,--,DEU,DEU,71,186,2011,4,114,20142015,N,36,2,5,7
Morgan Rielly,TOR,L,D,9.3.1994,Vancouver,BC,CAN,CAN,73,219,2012,1,5,20132014,N,46,3,24,27
Juuso Riikola,PIT,L,D,9.11.1993,Joensuu,--,FIN,FIN,72,189,--,--,--,20182019,N,23,1,6,7
Zac Rinaldo,CGY,L,C,15.6.1990,Mississauga,ON,CAN,CAN,70,192,2008,6,178,20112012,N,11,2,1,3
Rasmus Ristolainen,BUF,R,D,27.10.1994,Turku,--,FIN,FIN,76,220,2013,1,8,20132014,N,46,5,16,21
Brett Ritchie,BOS,R,R,1.7.1993,Orangeville,ON,CAN,CAN,76,220,2011,2,44,20142015,N,25,2,4,6
Nick Ritchie,ANA,L,L,5.12.1995,Orangeville,ON,CAN,CAN,74,230,2014,1,10,20152016,N,27,3,7,10
Eric Robinson,CBJ,L,L,14.6.1995,Bellmawr,NJ,USA,USA,74,197,--,--,--,20172018,N,26,5,4,9
